date,daily_cases,med_temp,med_hum,pm25,pm10,o3,so2,retail,grocery,parks,transit,work,home,rt1,rt2
2020-02-25,1,8,76.2629672200824,97,53,1,27,4,16,19,-15,-25,7,1.47180968823526,NaN
2020-02-26,0,8.5,33.7465384558609,127,20,16,16,0,4,3,-15,-21,5,1.44900812636217,NaN
2020-02-27,0,6.5,36.2080377817281,59,15,27,5,-2,2,1,-10,-20,5,1.42620253609442,NaN
2020-02-28,0,9,21.4904335293142,34,23,27,5,-4,-1,1,-12,-20,6,1.40084161898192,NaN
2020-02-29,0,9,32.1537351400264,53,16,18,12,-10,-2,-5,-4,-4,2,1.37305213915146,NaN
2020-03-01,0,5,93.3358465665019,42,19,25,5,-19,-1,-32,-12,-2,5,1.33955013936367,NaN
2020-03-02,0,5,93.2344416434893,57,NaN,14,9,-13,-5,-30,-9,0,2,1.3049000291393,NaN
2020-03-03,0,8,76.1044040469703,NaN,6,21,8,-8,0,-15,-6,0,1,1.26684390638814,NaN
2020-03-04,0,9,37.100435877353,21,6,33,2,-5,0,-6,0,1,0,1.22848538010077,NaN
2020-03-05,0,5,60.6702702324474,25,11,14,12,-13,3,-22,-15,-14,6,1.19184709031246,NaN
2020-03-06,3,6,81.2949223108105,30,14,12,13,-13,-1,-17,-17,-14,6,1.15396774634036,NaN
2020-03-07,5,10,25.7806197405843,50,6,21,5,-16,-2,-12,-18,-5,3,1.1160756351588,1.56631002
2020-03-08,0,9,37.100435877353,21,7,28,3,-17,1,-2,-13,-8,1,1.07778976925765,1.508174315
2020-03-09,0,8,61.1515982034628,30,11,30,7,-26,1,-38,-28,-17,8,1.04270853876998,1.451003881
2020-03-10,29,8,61.8524319550942,34,10,32,9,-44,5,-51,-39,-24,13,1.00664939260177,1.405472774
2020-03-11,37,11.5,64.4471567474691,30,14,16,10,-53,-16,-45,-45,-30,16,0.971793634471806,1.356790563
2020-03-12,29,13,58.8090365836794,46,32,34,10,-74,-24,-61,-59,-40,23,0.9378769435697,1.311078603
2020-03-13,21,15,40.1899157109373,85,24,31,14,-80,-36,-71,-69,-48,28,0.905936329927775,1.276105505
2020-03-14,48,5.5,93.3106866789975,72,4,23,6,-90,-56,-86,-79,-55,26,0.877015930581262,1.231895473
2020-03-15,31,9,71.1637015780037,9,9,NaN,NaN,-91,-71,-80,-79,-57,22,0.847846608687221,1.195691733
2020-03-16,37,10,57.8554912248566,38,10,30,4,-81,-42,-75,-73,-56,27,0.820316114912082,1.148411733
2020-03-17,50,12,54.1404536490307,34,14,29,7,-83,-48,-73,-73,-59,29,0.795012939373771,1.119441713
2020-03-18,85,16,42.5124007698423,46,18,36,8,-84,-50,-74,-73,-60,30,0.770364528294805,1.086830449
2020-03-19,60,15.5,43.3607013769228,57,16,40,8,-85,-50,-78,-75,-61,32,0.750540051395579,1.069982172
