date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.4751512074989,1.77790855620248,NaN
2020-02-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.22308316067808,1.76812857603848,NaN
2020-02-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.3437292959978,1.76088420499408,NaN
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.0011818785284,1.74938200198334,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.3199832421948,1.73471032798523,NaN
2020-02-24,0,16.5,63.5006985386173,70,24,15,8,0,18,19,-4,-3,1,38.2441272958733,1.70994516976266,NaN
2020-02-25,3,16,61.4463059417725,57,17,20,NaN,-1,8,9,-7,-2,1,42.6559575600785,1.68784863688339,NaN
2020-02-26,0,15,67.5761485295562,38,20,24,1,-9,-3,-6,-10,0,2,48.0724014323065,1.66057477439766,NaN
2020-02-27,0,12,40.2816342071524,46,10,22,3,-5,0,0,-9,1,2,53.6493998024586,1.63074230344699,NaN
2020-02-28,0,15.5,29.1200904322449,17,13,24,1,-5,0,4,-8,1,1,59.5390112305682,1.59576932722714,NaN
2020-02-29,3,14.5,53.1787362734767,30,14,20,5,-4,0,7,-7,0,0,65.876820756272,1.55841084456584,NaN
2020-03-01,0,15,67.7696595335769,34,22,24,1,-21,-7,-41,-22,-4,3,72.6022845721386,1.51564877391064,NaN
2020-03-02,1,14.75,77.0987730791745,30,NaN,NaN,NaN,-14,-7,-30,-13,0,2,79.612515322794,1.47577101036835,NaN
2020-03-03,7,12.5,58.5745923196379,NaN,22,22,5,-8,0,-24,-13,0,2,86.8008590629479,1.43188737232571,1.62611865890012
2020-03-04,15,13,54.7690433960073,34,10,19,4,-6,3,-9,-11,1,1,94.081536780366,1.38682688018007,1.60852467519815
2020-03-05,13,13.5,41.3716494076216,25,9,18,5,-11,5,-8,-22,-15,6,101.349571099058,1.3402798785852,1.5860060198453
2020-03-06,7,14.5,69.8189736559112,25,17,24,NaN,-18,2,-16,-25,-16,8,108.4609880845,1.29099480960183,1.56171120253179
2020-03-07,22,14,67.3803362062765,21,10,19,4,-20,3,-4,-23,-7,4,115.261468234296,1.24690335720264,1.52978273161509
2020-03-08,6,15,40.3958179334996,30,7,23,1,-26,3,12,-29,-9,3,121.579354364816,1.20274966630899,1.49352280163297
2020-03-09,14,13.5,51.3358425806075,21,10,21,5,-30,2,-26,-39,-26,11,127.295916409829,1.16286609244027,1.45066596874111
